Sample ID	../MWA/H_ERR1398076/kraken/ERR1398076_kraken.out	../MWA/H_ERR1398077/kraken/ERR1398077_kraken.out	../MWA/H_ERR1398085/kraken/ERR1398085_kraken.out	../MWA/H_ERR1398168/kraken/ERR1398168_kraken.out	../MWA/H_ERR1398068/kraken/ERR1398068_kraken.out	../MWA/H_ERR1398221/kraken/ERR1398221_kraken.out	../MWA/NH_ERR1398129/kraken/ERR1398129_kraken.out	../MWA/NH_ERR1398206/kraken/ERR1398206_kraken.out	../MWA/NH_ERR1398263/kraken/ERR1398263_kraken.out	../MWA/NH_ERR1398078/kraken/ERR1398078_kraken.out	../MWA/NH_ERR1398257/kraken/ERR1398257_kraken.out	../MWA/NH_ERR1398089/kraken/ERR1398089_kraken.out
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	0	0	1	1	1	0	0	1	0	0	0	0
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	0	0	0	1	1	1	0	1	3	1	0	0
d__Bacteria|p__Planctomycetes|c__Planctomycetia	17	15	2	10	10	19	5	11	15	12	4	11
d__Bacteria|p__Planctomycetes|c__Phycisphaerae	2	0	0	0	0	2	0	1	0	2	0	3
d__Bacteria|p__Chlamydiae|c__Chlamydiia	0	0	0	1	1	1	0	0	0	0	0	1
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	6	2	1	3	3	5	2	8	6	4	2	3
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia	27	57	64	26	26	57	29	53	53	20	30	29
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	5	3	4	5	5	13	0	10	6	3	3	2
d__Bacteria|p__Bacteroidetes|c__Bacteroidia	5679	20336	14789	15764	15764	23035	9884	16831	20749	14142	13899	12020
d__Bacteria|p__Bacteroidetes|c__Cytophagia	31	14	6	24	24	34	10	32	17	10	7	7
d__Bacteria|p__Bacteroidetes|c__Chitinophagia	2	2	1	1	1	8	3	6	6	0	4	2
d__Bacteria|p__Bacteroidetes|c__Saprospiria	0	0	0	0	0	1	0	2	0	0	1	0
d__Bacteria|p__Chlorobi|c__Chlorobia	22	9	2	25	25	30	5	17	11	6	1	10
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1	0	0	0	0	1	0	4	0	0	0	1
d__Bacteria|p__Firmicutes|c__Bacilli	139	190	555	257	257	323	143	212	276	269	263	254
d__Bacteria|p__Firmicutes|c__Clostridia	6628	8656	12910	11048	11048	11550	10179	7318	9221	9391	5838	11443
d__Bacteria|p__Firmicutes|c__Erysipelotrichia	33	121	156	146	146	189	126	123	189	152	176	153
d__Bacteria|p__Firmicutes|c__Negativicutes	193	57	25	773	773	119	25	1048	206	508	688	72
d__Bacteria|p__Firmicutes|c__Limnochordia	2	1	0	0	0	0	3	0	2	1	0	0
d__Bacteria|p__Firmicutes|c__Tissierellia	3	30	6	36	36	29	10	11	34	14	31	25
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci	44	28	4	37	37	41	5	30	22	19	1	8
d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	2	0	0	3	3	5	0	2	0	1	0	0
d__Bacteria|p__Chloroflexi|c__Chloroflexia	6	1	1	0	0	1	0	4	2	2	1	0
d__Bacteria|p__Chloroflexi|c__Thermomicrobia	5	2	0	2	2	5	0	2	0	1	1	1
